school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,win_perc,cliche_score,aggression_score,complexity_score,energy_score
Illinois,Big Ten,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910,Yes,Yes,No,162,60,No,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6C0vaoMxzM21yYgJBmGx5K,0.507,6,1.4285714285714286,1.4615384615384615,8.725663716814159
Indiana,Big Ten,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,Yes,Yes,No,150,63,Yes,1,No,No,No,No,No,Yes,No,No,Yes,3,2Wbo5zdRDnq4pOgWL9avaG,0.421,3,1.8571428571428572,1.8076923076923077,7.769911504424778
Iowa,Big Ten,Iowa Fight Song,Meredith Willson,1950,No,Yes,No,150,72,Yes,9,No,Yes,Yes,Yes,No,No,No,No,No,3,604ELPPFgbFlW0SHoEYVJw,0.546,3,9.142857142857142,2.846153846153846,7.769911504424778
Maryland,Big Ten,Maryland Fight Song,Ralph Davis,1939,Yes,Yes,No,142,56,Yes,8,Yes,Yes,Yes,No,No,No,No,No,No,3,6PKoPWKJLOBI2K33RkFvbc,0.52,3,8.285714285714285,1.0,7.132743362831858
Michigan,Big Ten,The Victors,Louis Elbel,1898,Yes,Yes,No,83,122,No,0,No,No,No,No,No,No,No,No,No,0,6wVbHLCBOCqp6052WcWXLG,0.732,0,1.0,8.615384615384615,2.433628318584071
Michigan State,Big Ten,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,Yes,Yes,No,145,112,Yes,6,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,5,4BSrPApxbeUNPA5Q8LyfMd,0.596,5,6.571428571428571,7.461538461538462,7.371681415929204
Minnesota,Big Ten,The Minnesota Rouser,Floyd Hutsell,1909,No,Yes,Yes,151,60,No,0,No,No,No,Yes,Yes,No,No,No,Yes,3,2EeyLSmHKdZulOKGcTpLS0,0.573,3,1.0,1.4615384615384615,7.849557522123893
Nebraska,Big Ten,Dear Old Nebraska U.,Harry Pecha,1924,Yes,No,No,136,94,No,0,No,No,No,No,No,No,Yes,No,No,1,7z2TihIyf3IZR1r0AmI1Ik,0.677,1,1.0,5.384615384615384,6.654867256637168
Northwestern,Big Ten,Go! U Northwestern,Theodore C. Van Etten,1912,Yes,Yes,No,140,57,Yes,1,Yes,Yes,Yes,Yes,No,No,No,No,No,4,4iWO9U49SZ0vvzto7qxRxN,0.448,4,2.2857142857142856,1.1153846153846154,6.9734513274336285
Ohio State,Big Ten,Buckeye Battle Cry,Frank Crumit,1919,No,Yes,Yes,178,89,Yes,1,Yes,Yes,Yes,No,No,Yes,Yes,No,No,5,2faIedehtxwQqYxRRc6T2L,0.735,5,2.2857142857142856,4.8076923076923075,10.0
Penn State,Big Ten,"Fight On, State",Joseph Sanders,1933,No,Yes,No,145,81,Yes,5,Yes,Yes,Yes,No,No,Yes,No,No,Yes,5,5InlNNfIFQAvCL78VFgR5O,0.691,5,5.714285714285714,3.884615384615385,7.371681415929204
Purdue,Big Ten,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912,Yes,Yes,No,160,86,No,0,Yes,No,Yes,No,No,Yes,No,No,No,2,1bYZgec19T5gQJAUeIzq9W,0.513,2,1.4285714285714286,4.461538461538462,8.56637168141593
Rutgers,Big Ten,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931,Yes,Yes,Yes,75,74,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8,7EdGMXzZjJKNHJaszbWTHi,0.491,8,10.0,3.076923076923077,1.7964601769911503
Wisconsin,Big Ten,"On, Wisconsin",William Purdy and Carl Beck,1909,No,Yes,No,132,134,Yes,5,No,Yes,Yes,No,No,No,Yes,No,No,3,4DmMOLdp4ZYvrAqemDBBbJ,0.584,3,5.714285714285714,10.0,6.336283185840708
Oregon,Big Ten,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916,Yes,Yes,No,65,80,Yes,2,Yes,Yes,Yes,No,No,No,Yes,Yes,No,5,4zPgdoDF3Od2dwQdPlGJtt,0.582,5,3.142857142857143,3.769230769230769,1.0
UCLA,Big Ten,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959,No,Yes,No,72,69,Yes,3,No,No,No,No,No,Yes,Yes,Yes,Yes,5,0XxQcPAThn9dOZ6NVFUfGl,0.586,5,3.571428571428571,2.5,1.5575221238938053
USC,Big Ten,"Fight On, USC",Milo Sweet,1922,Yes,Yes,Yes,75,60,Yes,5,Yes,Yes,Yes,No,No,No,Yes,No,Yes,5,23EM48kuqZWVltXE9bApcK,0.694,5,5.714285714285714,1.4615384615384615,1.7964601769911503
Washington,Big Ten,Bow Down to Washington,Lester J. Wilson,1915,No,Yes,Yes,139,89,Yes,1,Yes,No,Yes,Yes,No,Yes,No,No,No,4,0OLQPcJ1jMwrXJbt81hHrx,0.62,4,2.2857142857142856,4.8076923076923075,6.893805309734513
